@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,59,6,0,90.769231,9.230769,0,0.87133,0.04976,0.197654,13.904498,46.796985,122.501484,29.631932,92.869553,1.884638,0.455876,1.428762,107.812156,1.658649,5676.074618,0.916667,22,0.02439,1,0.97561,40,0.083333,2,0.956522,0.916667,0.93617,0.900551,0.994919,0.991823,0.907692,0.031063,0.968937,0.092308,0.908946,0.907692,0.907714,0.873714,0.987167,0.966079,0.904218,0.907692,0.001,0.003,0,0,0,0,9903,137058,17520,95.384615,28.461538,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,62,4,0,93.939394,6.060606,0,0.915058,0.03588,0.174708,10.016569,41.3205,124.594974,33.204019,91.390954,1.887803,0.503091,1.384711,113.725133,1.723108,5988.409351,1,24,0,0,1,42,0,0,1,1,1,1,1,1,0.939394,0.023224,0.976776,0.060606,0.941558,0.939394,0.938889,0.91835,0.982946,0.963766,0.941667,0.939394,0.001,0.002,0,0,0,0,9903,136829,17749,93.939394,27.272727,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,63,3,0,95.454545,4.545455,0,0.936232,0.035019,0.156241,9.776322,36.952896,124.594974,50.769613,73.825361,1.887803,0.769237,1.118566,112.740858,1.708195,5936.580493,1,24,0,0,1,42,0,0,1,1,1,1,1,1,0.954545,0.011495,0.988505,0.045455,0.953803,0.954545,0.953486,0.943955,0.995429,0.983695,0.91958,0.954545,0.001,0.002,0,0,0,0,9903,136829,17749,95.454545,28.409091,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,61,4,0,93.846154,6.153846,0,0.914474,0.025428,0.120028,7.087577,28.338126,123.143425,7.806857,115.336568,1.894514,0.120105,1.774409,116.031859,1.785106,6112.296857,0.913043,21,0.02381,1,0.97619,41,0.086957,2,0.954545,0.913043,0.933333,0.898585,0.996894,0.994322,0.938462,0.023496,0.976504,0.061538,0.94289,0.938462,0.939551,0.914766,0.997645,0.994914,0.947165,0.938462,0.001,0.002,0,0,0,0,9903,137058,17520,100,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.936212,0.024644,0.133092,6.853725,31.343392,124.155668,11.701302,112.454367,1.910087,0.18002,1.730067,116.81042,1.797083,6158.885591,0.956522,22,0,0,1,42,0.043478,1,1,0.956522,0.977778,0.96658,1,1,0.953846,0.013129,0.986871,0.046154,0.955226,0.953846,0.953529,0.939078,0.997819,0.994069,0.947466,0.953846,0.001,0.002,0,0,0,0,9903,137058,17520,98.461538,26.923077,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,61,4,0,93.846154,6.153846,0,0.914642,0.030533,0.138269,8.504275,32.618055,123.799654,14.186966,109.612688,1.90461,0.218261,1.686349,115.141514,1.771408,6068.96996,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.938462,0.017282,0.982718,0.061538,0.939266,0.938462,0.938255,0.919654,0.995383,0.988142,0.930532,0.938462,0.001,0.002,0,0,0,0,9903,137058,17520,98.461538,28.461538,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,55,10,0,84.615385,15.384615,0,0.783981,0.076279,0.261403,21.245935,61.665723,123.799654,586.219284,-462.41963,1.90461,9.018758,-7.114148,99.420183,1.529541,5240.31759,0.958333,23,0.073171,3,0.926829,38,0.041667,1,0.884615,0.958333,0.92,0.87197,0.97561,0.923522,0.846154,0.061975,0.938025,0.153846,0.843111,0.846154,0.836497,0.78814,0.934008,0.874257,0.826699,0.846154,0.001,0.002,0,0,0,0,9903,137058,17520,87.692308,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,59,6,0,90.769231,9.230769,0,0.872466,0.044983,0.19432,12.529205,45.840689,123.799654,36.120301,87.679352,1.90461,0.555697,1.348913,110.331937,1.697414,5815.462965,0.916667,22,0,0,1,41,0.083333,2,1,0.916667,0.956522,0.934896,0.996951,0.99537,0.907692,0.027789,0.972211,0.092308,0.911021,0.907692,0.9081,0.876699,0.981408,0.961591,0.904154,0.907692,0.001,0.002,0,0,0,0,9903,137058,17520,96.923077,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.935366,0.027443,0.132996,7.643733,31.374053,123.799654,15.58217,108.217483,1.90461,0.239726,1.664884,115.113495,1.770977,6067.493096,1,24,0.02439,1,0.97561,40,0,0,0.96,1,0.979592,0.967773,0.998984,0.998333,0.953846,0.019513,0.980487,0.046154,0.954172,0.953846,0.952902,0.938367,0.996856,0.989293,0.945612,0.953846,0.001,0.002,0,0.0156,0,15.6001,9903,137058,17520,98.461538,28.076923,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,61,4,0,93.846154,6.153846,0,0.912869,0.031796,0.160073,8.884854,37.899289,122.501484,45.239218,77.262266,1.884638,0.695988,1.18865,112.744878,1.734537,5935.771636,1,24,0.04878,2,0.95122,39,0,0,0.923077,1,0.96,0.937043,0.996951,0.995059,0.938462,0.028981,0.971019,0.061538,0.939231,0.938462,0.936485,0.916229,0.980921,0.976302,0.928645,0.938462,0.001,0.002,0,0,0,0,9903,137058,17520,96.923077,27.307692,?,?,?,?,?,?,?,?,?,?,?,?,?,?
